spearman_rho,kendall_tau,exact_rank_agreement,top_rank_agreement,reference_top,comparison_top,repetition,noise_seed
-0.09999999999999999,0.0,0,0,A1,A2,417,100458
0.8999999999999998,0.8,0,1,A1,A1,418,100459
0.6,0.4,0,1,A1,A1,419,100460
0.5642880936468347,0.5270462766947299,0,1,A1,A1,420,100461
0.7,0.6,0,1,A1,A1,421,100462
0.8720815992723809,0.7378647873726218,0,1,A1,A1,422,100463
0.9746794344808963,0.9486832980505138,0,1,A1,A1,423,100464
0.7,0.6,0,1,A1,A1,424,100465
0.8944271909999159,0.8366600265340756,0,1,A1,A1,425,100466
0.4103913408340617,0.31622776601683794,0,0,A1,A4,426,100467
0.8720815992723809,0.7378647873726218,0,1,A1,A1,427,100468
0.9746794344808963,0.9486832980505138,0,1,A1,A1,428,100469
0.7,0.6,0,1,A1,A1,429,100470
0.9999999999999999,1.0,1,1,A1,A1,430,100471
0.8720815992723809,0.7378647873726218,0,1,A1,A1,431,100472
0.49999999999999994,0.4,0,0,A1,A4,432,100473
0.7,0.6,0,0,A1,A5,433,100474
0.8999999999999998,0.8,0,1,A1,A1,434,100475
0.7,0.6,0,1,A1,A1,435,100476
0.7,0.6,0,0,A1,A4,436,100477
0.7,0.6,0,1,A1,A1,437,100478
0.39999999999999997,0.4,0,0,A1,A2,438,100479
0.8999999999999998,0.8,0,1,A1,A1,439,100480
0.9999999999999999,1.0,1,1,A1,A1,440,100481
0.9746794344808963,0.9486832980505138,0,1,A1,A1,441,100482
0.8944271909999159,0.8366600265340756,0,1,A1,A1,442,100483
0.8207826816681234,0.7378647873726218,0,1,A1,A1,443,100484
0.8720815992723809,0.7378647873726218,0,1,A1,A1,444,100485
0.0,0.0,0,0,A1,A2,445,100486
0.6668859288553503,0.5270462766947299,0,1,A1,A1,446,100487
0.8720815992723809,0.7378647873726218,0,0,A1,A4,447,100488
0.8944271909999159,0.8366600265340756,0,1,A1,A1,448,100489
0.7,0.6,0,0,A1,A5,449,100490
0.9999999999999999,1.0,1,1,A1,A1,450,100491
0.7,0.6,0,1,A1,A1,451,100492
0.8999999999999998,0.8,0,1,A1,A1,452,100493
0.8944271909999159,0.8366600265340756,0,1,A1,A1,453,100494
0.8720815992723809,0.7378647873726218,0,1,A1,A1,454,100495
0.9746794344808963,0.9486832980505138,0,1,A1,A1,455,100496
0.30779350562554625,0.31622776601683794,0,0,A1,A2,456,100497
0.6668859288553503,0.5270462766947299,0,0,A1,A5,457,100498
0.19999999999999998,0.2,0,0,A1,A2,458,100499
0.39999999999999997,0.4,0,0,A1,A2,459,100500
